,강의아이디,유저아이디,강의만족도,학습량,난이도,강의력,성취감,강의평
669,191,mkim78,5,2,2,5,5,일단 시험없고 대체 과제만 열심히 하면 됨. 과제도 딱히 많지 않고 평가 기준에 맞게 써서 제출하면 성적 잘 받을 수 있음.
670,191,진교쟁,5,4,3,4,3,"엄청나게 꿀강은 아니에요 ~ 시키는게 엄청 부담스럽지는 않은데 끊임없이 나와요. 에세이 작성부터 개인 발표, 조별 발표 등 한 학기 내내 쏟아진답니다. 평가 기준이 빡쎼지는 않지만 그렇다고 엄청 유하지도 않아요. 교수님만의 기준이 확고하시답니다. A0학점인 학우분들은 주변에서 많이 봤는데 A+학우분들을 실제로 본 적 없으니 이 점 참고해주시기를 바랍니다."
671,191,사자와호랑이,4,4,3,4,3,"중간 기말은 없고 과제가 총 3개였음. 에세이 쓰기, 면접 준비 발표, 보도자료 작성(팀플).
에세이 쓰기는 소논문 쓰기에 가까웠음. 본인이 원하는 주제를 찾고 주어진 양식에 따라서 본인의 주장을 펼치면 됨. 어떻게 하면 되는지 자세하게 알려주셔서 잘 따라가기만 하면 크게 어렵진 않음. 평가방법도 구체적으로 제시해 주시고 시간도 충분히 주심.
면접 준비 발표는 자신이 가고 싶은 기업과 직무를 정하고 그 기업에 대한 간단한 조사와 면접 예상 질문과 답변을 발표하는 것임. 이것도 양식을 제공해 주심. 발표는 수업 중에 하지 않고 영상을 찍어서 제출함.
보도자료 작성은 팀별로 한 업종을 정해서 가상으로 그 업종 신규 개점에 대해 홍보자료를 작성하는 것임. 이것도 양식을 제공해 주심. 이것도 발표인데 이건 수업시간에 함. 자료는 준비하지 않아도 괜찮고 그냥 읽으면 됨.

교수님이 매우 친절하셔서 매번 출석 불러주실 때마다 학생들에게 오늘 어떻냐고 물어봄(학생들은 대부분 굿, 파인으로 대답함). 그리고 질문도 매우 친절하게 다 받아주심. 그리고 시험기간에 휴강은 없고 강의실에서 다른 공부 할 수 있게 해주심."
672,191,가나마다바,5,3,3,3,3,"경영, 자전 분반 아잉 교수님 중에 유일한 빛입니다. 다른 교수님말고 꼭 윈체스터 교수님 수업 들으세요. 과제 부담도 다른 교수님들에 비해 적고 교수님께서 학생들 배려도 많이 해주십니다."
673,191,명명명명,5,2,1,5,4,숨겨진 아잉 꿀교수님. 시험기간에 자습할 시간을 주실 정도로 학생을 생각해 주신다. 과제물 양도 많지 않고 그 자리에서 되도록 끝낼 수 있도록 배려해 주신다.
674,191,내이름뭘까,1,1,1,3,1,"솔직히 수업 가끔하고 보통 수업시간에 교수님이 내준 과제하라고 하십니다. 학습량은 진짜 거의 제로에 가깝지만 피드백을 너무 늦게 주십니다. 에세이를 쓸 때 피드백을 바탕으로 고쳐서 파이널 에세이를 써야되는데 피드백도 안줘서 수정도 못한 채로 제출했는데, 무슨 학점 공고 이틀전인가 피드백이랑 점수를 올려주셨어요."
675,192,노비츠키,2,5,4,4,1,다라 미워요… 너무 시키는것도 많아요.. 그리고 에세이는 자기 딴에는 평가기준을 주신다고 하는데 솔직히 모호한것 같아요.. 의문사도 많고 아무튼 쉽지 않습니당 학점도 잘 안줍니다. 자비로운 실베스터 할아버지 들으러 가세요
676,192,드레탕전문셰프,5,3,3,5,4,"교수님이 매우 친절하십니다. 특히 약간 부담스러울 정도로 학생들의 편의를 많이 봐주십니다. 에세이 듀데이트를 일주일 가까이 늦춰주시기도 하시고 그거보다도 이틀 정도는 더 늦게 내도 감점을 안 하신다고 하십니다. 수업이 시작했을 때에는 학생들이 들고 온 노래나 재미있는 영상을 함께 보고 그 중에 익힐 만한 영어 표현을 집어 가르쳐 주십니다. 또한 수업 내용도 매번 지루한 내용이 아니라 유용한 것을 많이 가르쳐 주시는데 그래프 추이를 영어로 읽는 법과 같이 영강을 이후에 들을 때 도움이 되는 부분을 많이 다루십니다. 

평가는 출석 10%, 에세이 30+5+5%, 짧은 영상 및 프레젠테이션 25%, 단어 포럼 참여 10%, 단어시험 15%로 진행되며 칼절평 95 A+입니다. A+를 뿌리시는 분은 절대 아니지만 납득할 만한 점수를 주십니다.

아잉 수신할 때에 1순위로 하셔도 좋은 교수님입니다. 에세이 평가기준이 명확하지만 엄격하고 단어시험도 엄격해 감점되기 쉽고 영상 제작이 약간 귀찮을 수 있지만 한 학기를 되돌아 보면 도움이 되는 수업이라는 것을 느낄 수 있습니다. 교수님도 석탑강의상을 받으신 분이라 강의력도 좋습니다. 아일랜드 억양이 알아듣기도 좋습니다."
677,192,이우진,4,2,2,4,3,학생들 편의를 많이 고려해주셔서 편하게 수업 들을 수 있었습니다. 다만 그만큼 얻어가는 게 많지는 않았던 것 같습니다. 교수님은 되게 권위적이지도 않으시고 괜찮은 분이십니다
678,192,수박바,4,5,3,4,3,"중간고사 전까지는 에세이 쓰기 활동을 하는데 Word Criteria가 굉장히 세부적이고 깐깐해서 매우 꼼꼼히 검토하지 않으면 점수가 많이 깎일 수 있습니다. 중간고사 이후에는 영상 만들기와 발표를 진행하는데 동시에 에세이에서 활용한 단어 시험, 에세이 2nd draft 제출 등 여러 가지 활동이 동시다발적으로 진행되어 학습량이 많다고 느껴질 수 있습니다. 다만, 과제를 성실히 제출하고 수업에 빠지지 않고 열심히 참여하면 학점은 좋게 주시는 것 같아 영어 실력을 다양한 활동을 통해 증진시키고 싶으신 분들에게 이 강의를 추천합니다."
679,192,이웃집또털엉,3,4,4,4,2,"아잉 특: 성취감이 전혀 없음,,

수업도 재미있게 이끌어 나가시고 교수님 자체가 좋으신 분이라 즐겁게 수강하였습니다.
그러나 학점은 그렇지 못했다는 거... 
아잉인 만큼 해야할 게 이것저것 많습니당 특히 다라 교수님께서 에세이, 에세이 2nd draft, 영화찍기, 단어 시험 등 많은 컨텐츠를..진행하셨습니다."
680,192,토피넛라떼,4,3,4,4,4,과제나 중간중간 해야 할 일들이 생각보다 많습니다. 그래도 교수님께서 과제나 일정에 대해 미리 파일로 만들어서 올려주신 덕분에 과제를 이해 못하거나 갑자기 큰 과제가 생기는 일은 없습니다. 아마 개인차가 크겠지만 제 기준에서는 교수님 말씀하시는 거 알아 듣기 편하다고 느꼈습니다.
681,192,리에,5,4,2,4,4,교수님 너무 좋은 분이시고 학점도 나쁘지 않게 나와요. 과제도 별로 없음. 중간은 리포트 기말은 토론과 단어시험. 토론은 어려운 건 아니고 주제에 대해 토론하고나서 질문이나 자기생각을 말하면 돼요. 단어시험은 리포트에서 랜덤으로 나와요.
682,192,Winbean,3,3,3,3,3,"교수님께서 UCC를 찍도록 시키시고, 영어 발표도 시키십니다. 그 외에는 에세이가 있으나, 에세이는 비교적 쉬운 편입니다. 그냥 아잉입니다."
683,192,강위에호수,1,5,5,4,1,"아잉 특성 상 배우는 것과 얻는 것은 없습니다. 교수님 수업은 재밌게 진행하시는데 학점이 매우 깐깐하시고, 전 솔직히 기대 이하의 학점을 받았습니다. 1학점 주제에 단어시험과 영화 제작 프레젠테이션 에쎄이까지 시킵니다. 시키는거 적은 다른 교수님 듣는 걸 추천합니다."
684,192,왜옹왜옹,4,4,3,3,4,"1학기 때보다 수업의 속도도 빠르고 해야 하는 것도 많습니다.
특히 영상을 촬영하는 게 시간이 오래 걸립니다
학점도 1학기 때와 비슷하게 에이쁠은 어렵지만 에이는 어렵지 않게 받을 수 있는 것 같습니다"
685,193,Winbean,4,3,3,3,3,"교수님께서 UCC를 찍도록 시키시고, 영어 발표도 시키십니다. 그 외에는 에세이가 있으나, 에세이는 비교적 쉬운 편입니다. 그냥 아잉입니다."
686,193,iii,4,3,3,4,3,에세이 제출기한을 늘려주시는 등 교수님이 친절하심. 그러나 1학점치고는 시키는 게 많고 점수를 깐깐하게 주심.
687,193,야이준,3,2,3,4,3,"무난한 영강, 무난한 수업, 무난한 결과. 중간중간 귀찮은 과제가 조금씩은 있지만, 수업이니까, 납득할 수 있다. 그리고 교수님이 친절하시다."
688,193,바솔로뮤,5,3,2,4,3,"성적:A
칼절평입니다. 94점으로 A 받았습니다. 
수업 내용은 에세이 작성+보카 퀴즈+팀을 짜서 지금 없는 신제품을 개발한다고 생각하고 광고영상이랑 발표하기로 이뤄져있습니다. 아잉이 늘 그렇듯이 할 게 소소하게 많지만, 교수님은 좋은 분이십니다. 저번 학기와 이번 학기에 연속으로 들었어요. 에세이 첨삭을 세세하게 해 주시고 학생들이 이해하기 쉽도록 설명해주시려고 하십니다. 아잉 수업을 듣는다고 하면 추천할 만한 수업이라고 생각해요! 다만 조별로 뭔가를 해야 하는 일들이 꽤 있어서 조원 운이 좋기를 비셔야 할 것 같습니다. 조별 과제의 경우 엄청난 퀄리티를 요구하지는 않는 것 같은데, 그 점은 다행이네요..."
689,193,웅웅앙14,3,2,2,2,4,"다라 교수님 에이쁠 잘 안주신다는 얘기를 듣긴 했는데 정말 잘 안 주시는 듯 ㅎ…
1학기 땐 괜찮은데 2학기 땐 영화 만들어서 과제량이 좀 많게 느껴질 수 있습니당 ㅠ"
690,193,스카라무슈,4,4,3,3,3,"다라 교수님 2학기 가면 헬된다는 소문 있지만... 저는 나름 괜찮았습니다
에세이 과제와 영상 과제가 한 번씩 있고 어휘 테스트도 있습니다
영상과제가 노동력이 많이 들었지만 나름 배운 것도 많았어요
생각보다 학점이 잘나와서 놀랐습니다"
691,193,미도리,4,3,3,5,3,"교수님의 강의력은 아잉 교수님들 중에서 좋은 편이다. 전달력 좋으시고, 학생들 편의를 많이 봐주려고 노력하신다.
하지만 1학기 다라의 강의를 듣고 2학기로 넘어오는 것은 조금 위험. 2학기는 글쓰기, 단어 시험, 조별 발표 및 동영상 제작 등 과제의 양이 늘어나기 때문에 생각을 조금 더 해보는 것을 추천한다."
692,193,티즐,4,5,3,4,3,"그냥 다라가 다라한 느낌.

원래 다라 교수님이 2학기 때 쫌 빡세다고 했음. 1학점 수업인데도 불구하고 에세이 작성, 영상 제작, 스크립트 작성, 팀 발표 등등 해야 할 것이 많음. 할 거 많은 거 싫으면 다른 분반 추천함. 학점은 A 컷은 무난한 것 같고, A+는 살짝 빡센 느낌? 기본적으로 에세이 작성 교수님이 제공하는 루브릭에 맞춰 잘 할 수 있는 꼼꼼한 사람이 점수 잘 받는 듯. 그 부분에 있어 굉장히 칼 같이 채점하는 것 같음.

과제: 에세이 작성 (1차 제출, 2차 제출) / 4-5분 영화 스크립트 작성 및 영화 제작 / 영상 상영과 함께할 인당 2분 정도 발표 스크립트 작성 및 제출, 직접 발표 / 보캡 포럼 (정해진 단어 20개 중 10개 정해서 문장 만들어 제출, 수업 마지막 날 함, 참고할 수 있는 자료 가져갈 수 있으나 문장 자체는 써가면 안됨, 단어의 의미 정도만 써갈 수 있음)"
693,194,wendy0521,4,2,4,5,4,"평가 기준: 중간 에세이(40), 기말 발표(20), 중간/기말 단어시험(각10), 출석(10), 참여(10)
 교수님 강의력이 매우 좋으시고 친절하게 설명해주셔서 수업은 재밌습니다! 그러나 기본적인 영어 실력과 에세이, 발표 수준을 꼼꼼히 보시기 때문에 많은 노력을 기울여야 좋은 성적을 받을 수 있습니다. 특히 에세이의 경우 정해진 분량은 없지만 길게 쓰는 경우에 더 좋은 점수를 주시는 것 같습니다. 학점을 후하게 주신다고는 못하겠네요ㅎㅎ 기말은 조별 발표 형식인데, 개인당 2~3분정도 발표에 대본 역시 볼 수 있어서 부담이 크지는 않습니다. 발음보다는 발표 태도나 자료를 더 보시는 것 같아요. 단어시험은 프린트에 있는 단어+수업에서 다룬 단어를 가지고 맥락을 통해 뜻을 알 수 있게 영어 예문을 짓는 형식입니다. 한 시험에 단어 풀은 30~40개 정도였고, 교수님이 18개를 당일에 랜덤으로 주시면 그 중 10개의 예문만 만들면 됩니다. 즐겁게 들었던 강의이고 성적도 예상에 딱 맞게 나오는 강의라고 생각합니다!"
694,194,AwA,5,4,2,5,4,"교수님이 굉장히 쾌활하시고, 수업 자료는 직접 만든 자료로 진행하십니다.
수업 시간에 하는 게 많은 대신 따로 해야 할 과제는 많이 없어요. 수업 시간엔 주로 파트너와의 디스커션으로 진행돼서 소극적이신 분들은 처음엔 조금 힘드실 수도 있을 거 같아요. 그래도 나름 힐링 강의로 잘 들었습니다:)"
695,194,mjkd2601,5,3,3,4,4,아잉 답게 크게 배워가는 게 있는 수업은 아니지만 학점이 생각보다 잘 나와서 좋았던 수업이었던 거 같습니다. 하지만 수업 전반적으로 교수님께서 크게 시키시거나 학생에게 바라시는 건 없다는 점에서 아잉 교수님 중에는 매우 좋으신 분이라는 사실은 반박의 여지가 없다고 생각합니다. 23학번 새내기 분들께 추천할만한 교수님입니다..!
696,194,강아지는귀여워,3,4,3,4,3,"시키는 게 꽤 많고 에세이 점수를 생각보다 짜게 주십니다 에세이 과제와 기말 팀플 프레젠테이션 과제를 열심히, 잘 하셔야 에제 이상을 주시는 것 같습니다.. 저는 에제 나올 줄 알았는데 비쁠 주셨어요 학점 후하신 편은 아닙니다 하지만 교수님 영어가 정말 잘 들리고 친절하시며 유머가 있으시다는 장점이 있습니다^^"
697,194,sofialvgg,5,4,3,3,4,"Glenn is a great professor. He has clear, easy-to-understand English and is very charismatic. His class was fun and I learned many new and useful vocabulary. Recommended."
698,194,김한겸,4,3,3,4,4,자잘한 과제가 많지만 많은 시간을 필요로 하지도 않고 성적에 직접적으로 반영되지는 않는 것 같습니다. 교수님이 유쾌하시고 강의력이 좋으시며 유익한 자료도 제공해주십니다. 에세이도 쓰고 조별 발표도 하며 단어시험도 봐서 절대적인 양은 절대 적다고 할 수는 없습니다.
699,194,ghfkddl21,5,4,2,5,4,과제 + 발표 + 시험.. 아잉치곤 해야할 것이 많았지만 교수님도 되게 친절하시고 배려도 많이 해주셔서 무난하게 들었던 수업이였습니다!
700,194,쌀떡이맛있지,3,3,3,4,2,"교수님께서 학생들을 참 존중해주시고 따스하시다.

성적은 에세이+팀 발표+단어 시험

팀 발표는 무난-잘함이었던 것 같고, 근데 나는 대본을 거의 줄줄...읽어버렸기에 살짝 아쉬운 평 받았을 수도 있겠다.

에세이를 초안 + 최종으로 나눠서 내는데, 최종 퀄리티가 매우 낮았다.

단어 시험은 2번 다 아마 만점이었을듯.

 B+맞았다.  스불재라고 생각한다. 교수님 좋으심 이 수업 열심히 듣고 성적 잘 받아보는 거 추천"
701,194,클루우우,3,3,3,4,3,"어느 아잉과 마찬가지로 해야할 것이 정말 많았습니다. 또한 교수님께서 수업시간에 학생 한명 한명을 지목하셔서 발표시키시곤 하셔서, 발표를 꽤 많이 하게 되는 아잉 수업이었던 것 같습니다. 평가는 크게 단어시험, 에세이, 조별 발표로 이루어졌습니다. 단어시험은 단어를 주시고 문장을 영작하는 방식으로 이루어졌고, 조별 발표는 에세이 주제에 관련해 주어진 예산을 어떻게 사용해서 문제를 해결할 것인지에 대해 발표하는 형식이었습니다. 

학점이 매우 만족스럽진 않았지만, 교수님 목소리가 귀에 잘 들어오고, 강의력이 좋으셔서 수업 들을 때 수월했습니다."
702,194,수신하기귀찮음,4,3,4,3,2,"열심히 한 거에 비해 생각보다 학점을 잘 받긴 어려워요.. 너무 힘들었어요 ㅜㅜ
쉬운듯 어려운듯 그 경계를 굉장히 아슬아슬하게 지나는 수업입니다
미디어학부라면 다른 교수님 수업 들으세요"
703,195,maho2003,3,3,2,2,2,교수님이 유쾌하고 재미있으신데 진짜 머라고 말씀하시는지 독특한 벌음 때문에 이해하기 너무 어려웠습니다. 그래도 친절하시고 학점도 나름 잘 주시는 거 같습니다.
704,195,루얄,4,3,4,4,3,호주 뉴질랜드 발음이셔서 조금 알아듣기 어렵다고 생각할 수 있어요. 강의 자체도 애초에 영어를 어느 정도 한다고 생각하고 진행하시는 듯 말도 빠르고 농담 같은 것도 자주 던지십니다. 그래도 시험 점수는 그거에 비해 넉넉하게 주시는 듯.. 제시하시는 기준만 잘 맞추면 수업은 좀 따라가기 벅차도 소소한 과제물 거의 없고 학점도 괜찮게 주십니다.
705,195,kluemaster,1,3,2,2,2,도대체 왜 이러한 학점을 받았는지 도무지 이해를 할 수 가 없습니다. 과제는 적은 편입니다. 하지만 도망가세요
706,195,롯데리아케챱도둑,4,4,3,2,1,"그냥 무난한 수업입니다.
에세이 한 번과 발표 한 번 그리고 자잘한 과제로 이루어져있고 교수님도 나름 재밌으셔서 들을만합니다."
707,195,araea,4,4,4,4,3,"마크 교수님은 재밌다. 근데 아잉 과목 특성상 아잉 과목 자체가 불합리한 구조로 이루어져있어 교수님의 특색이 별로 느껴지지 않는다. 교수님에 상관없이 아잉이라는 과목이 그냥 마음에 안드는 것 투성이이다.
정경대면 어차피 다 비슷한 교수님인 것 같으니 마크 교수님 들어도 된다고 생각한다."
708,195,바밤바밤바,4,3,3,3,3,그냥 시키시는 거 열심히 하면 점수는 잘 주시는 거 같습니다. 기말이 조별 발표인데 발표를 잘하면 학점도 잘 받는 거 같습니다. 적당히 한 학기 듣기에 괜찮은 강의입니다.
709,195,우국가,5,3,2,4,2,"기본적으로 교수님 영어 억양이 있으신 편이어서 수업에서 하시는 말씀을 따라가기가 어려운 면은 있습니다.

하지만 수업에서 나가는 숙제의 양도 적고 그 난이도 또한 어렵지 않은 편이고, 교수님께서 알고 있으신 것이 많아서  집중하신다면 영어 외적으로도 많은 것을 알아갈 수 있는 강의입니다.

학점은 과제만 제때 하시면 잘 주시는 것 같습니다!"
710,195,호주호랭이,3,5,5,3,3,다른 아잉에 비해 크게 귀찮은 과제들은 많이 없는 것 같습니다. 다만 학점을 좀 짜게 주시는 것 같습니다..
711,195,이거거든,3,4,4,2,2,굳이 싶습니다. 좀 열심히 하면 에제는 나오는데 에쁠은 안 나와요. 수업 내용은 얻고자 하면 얻을 게 있는데 그냥 무시하면 한없이 무시할만합니다.
712,195,우돌프,5,5,4,5,5,"my favorite professor oh my god 이 교수님은 너무 웃기시다 1학기 2학기 모두 이 교수님 트리를 탔는데 매번 이 시간이 기다려졌다 
아마 팀을 이루면서 수업을 듣게 될 텐데 거의 다 같은 과라 공통점도 많고 해서 친해지기 쉬울 것이다 억양이 세서 못 알아듣겠다는 얘기가 많은데 그냥 대충 남들 웃을 때 웃으면 된다"
713,196,slrspdla2,3,2,3,3,3,"강의평이 안좋아서 도전하는 느낌으로 수강했는데 생각보다 괜찮은 강의였습니다
다만 저는 리스닝이 잘 안되서 가끔 막히는 부분이 있었지만.. 나중에 공지사항으로 중요한 것들 다 알려주십니다
모든 아잉2가 그렇듯이 해야할 건 많았지만 그렇게 부담되지 않는 정도였습니다"
714,196,tlrswft,4,4,4,4,4,"열심히 했고 과제별 성적도 좋았지만 A0 주셨습니다. 아마 프레젠테이션에서 깎인 것 같습니다. 
교수님이 원하시는 수준이 생각보다 꽤 높습니다. 
그리고 호주식 발음에 말 속도가 굉장히 빠르니, 영어에 익숙한 학생이 듣길 바랍니다. 
교수님은 너무 좋으세요. 정말 착하세요."
715,196,z1존호랑이,3,4,4,3,3,"매 시간 지문을 읽고 문제를 풉니다. 과제로는 에세이 쓰기, 주어진 지문에 적절한 참고문헌을 넣고 표기하기, 조별 발표가 주어졌습니다. 나머지 과제에서의 점수가 나쁘지 않았음에도 발표를 말아먹어서 기대한 만큼의 학점은 나오지 않았습니다. 
교수님이 말을 조금 빨리 하셔서 못알아듣는 부분도 종종 있었습니다. 영어 리스닝 실력에 자신이 없으시다면 다른 교수님께 수업을 듣는 것이 좋을것 같아 보입니다."
716,196,ehc0416,3,2,5,1,2,저는 경제학과 학생입니다. 자기가 경제학과 학생이면 아잉 수강신청 꿀팁 알려드립니다. 마크 교수님 들을 바에는 다른 분반으로 가세요. 진짜 부탁입니다.
717,196,김지훈,3,4,4,3,3,"교수님이 재밌습니다. 그런데 말이 굉장히 빠르셔서 못 알아듣는 경우가 많았습니다. 제 실력이 부족해서겠죠.
이번 학기 나름 열심히 했다고 생각했는데 기대 이하의 학점을 받아 심란합니다."
718,196,아점냠냠,5,1,1,3,3,교수님 말이 빠르셔서  알아듣기 어렵긴 하지만 시키시는게 없어서 아주 편합니다. 수업 분위기도 딱딱하지 않아서 좋아요
719,196,무리푸리,3,3,3,3,4,1학점보다 훨씬 더 많은 노력을 요구합니다. 과제를 끝마쳤을 때 성취감은 높으나 학점으로 다시 아쉬워졌습니다. 출석은 매번 확인하고 알아듣기 힘든 발음으로 미국식 유머를 선보이시는 교수님의 수업을 듣고 있으면 어느새 수업 시간이 오버됩니다. 마크 교수님의 수업은 1학기만 듣는 것을 추천드립니다.
720,196,민트냥,4,3,2,4,3,교수님 너무 좋으시고 전 1년 내내 마크 교수님한테 들었는데 학생들도 잘 챙겨주시고 지루하지 않게 하려고 수업 분위기도 띄우려고 노력 많이 하세요! 학점도 잘 주십니당
721,196,영산,1,4,5,1,1,"교수님의 억양과 말의 빠르기 때문에 교수님의 말씀을 거의 못 알아 들었던 기억이 납니다.  한 학기 동안 조별 수업으로 진행되며, 아잉2의 경우 조별 프레젠테이션이 있다는 것이 아잉 1과의 차별점입니다. 영어에 자신이 없으신 분들은 듣지 않는 것을 추천드립니다."
722,196,핑크색악마,3,3,1,2,1,"일단 억양때문에 뭐라고 말하시는지 잘 모르겠는데 어차피 다들 몰라서 괜찮음+대부분은 중요한거 아니고 농담이라 괜찮음
본인 영포자인데 다른 조에 영어 잘하는 사람 많아서 위축되었음
맨날 쪽지시험 연습한다고 문제풀기하는데 과제해오라 하는것보단 나은듯
학점은 에세이, 발표, 쪽지시험, 인용과제로 결정남 그냥 한만큼 줌
결론: 이분 수업 듣는다고 큰일나진 않지만 굳이? 개인적으론 dara가 좀 더 나은 선택이지 않을까 싶음"
723,197,한여름소나기샤워,4,4,3,2,4,"A+ 받기는 힘들지만 A는 웬만하면 주시는 것 같습니다.
2학기 피터 교수님의 아잉은 에세이 쓰기, 에세이 기반으로 1:1 인터뷰, 조별 발표, 조별 토론으로 이루어져 있어 생각보다 할 게 많았습니다.
그리고 저것들을 제외한 나머지 수업시간에는.. 알아들을 수 없는 말을 50분 동안 하십니다..."
724,197,세상에이게내학점이라니,3,2,2,3,2,"조 토론, 발표, 에세이 작성 있습니다 난도는 높지 않지만... 이것보다도 덜 빡센 수업도 있으니가 잘 찾아보시길..."
725,197,루아아아,5,4,3,2,2,"에세이가 타 교수님들 분량보다 많아서 부담이었긴 했지만 내용은 잘 안 보시고 출처와 형식만 apa 스타일로 잘 작성하면 좋은 점수를 주셨어요 
에세이 내용에 대한 간단한 1:1 인터뷰도 영어가 유창하시지 않아도 대답의 내용을 더 중요하게 보는 것 같아요
디스커션에서 뭐라도 더 말할려고 노력하고 발표할 때는 아이컨택 유의해서 발표하면 좋은 점수 받는 것 같아요!
타 아잉 교수님들보다 분량이나 퀄리티면에서 할 게 많았지만 교수님의 수업을 아예 안 들어도 되고 과제만 제출하면 돼서 학기 내내 편했습니다 그리고 과제를 적당히+열심히만 하면 에이쁠 주십니다~!!"
726,197,냥냥냠냠,5,1,2,4,2,"아잉은 피터 교수님으로 1, 2를 다 수강했는데, 둘 다 꿀강이라고 생각합니다.
그렇지만 2는 1보다 에세이가 아~주 조금 더 빡빡하다고 느껴졌고, devil's advocate와 팀 발표가 추가되었다는 점이 차이겠네요. (다만 devil's advocate는 1학기에도 강계에는 적혀있었던 걸로 압니다! 당시 코로나로 계획에 조금씩 어긋나다보니 결국 시간관계상 안 한 걸로 기억해요)

4인(혹은 3인) discussion은 영어가 부족해도 열심히 대화에 참여하시면 좋은 점수 받으실 수 있을 것 같습니다. 맥락에 벗어나지 않게 말을 많이 하세요!!

에세이는 그냥 후딱 적으면 됩니다(에세이 최종 제출 전 과정인 outline 제출도 점수에 반영되니 조심하세요). 그리고 devil's advocate는 본인이 적은 에세이에 대해 교수님이 반박/질문 서 너개를 하는 형식으로 진행됩니다. 어렵진 않고 교수님의 말이 틀렸다! 내 에세이에서 주장하는 바가 맞다! 내 말이 맞다!!!로 밀고 나가시면 됩니다. 교수님 말에 수긍만 안 하면 돼요ㅎㅎ. 
혹시 영어 말하기에 자신이 없으시다면, 에세이 주제를 교수님이 잘 모르는 분야(정치 경제 피하기)로 잡으시면 난이도가 훨씬 낮아질 거예요:>

발표는 적당한 말 속도 + 목소리 크기 + 시선 처리만 잘 하면 좋은 점수 받으실 수 있을 거라고 생각합니다. 시선 처리는 대본을 조금 보고 앞을 많이 보는 것도 좋지만, 교수님께서 원하는 건 대본을 아예 안 보는 거니까 외우시는 걸 아주아주 추천합니다. (교수님께서 no memorizing, no reading이라고 하셨는데 예...... 그렇습니다)

다른 분반의 아잉 교수님은 노래를 틀거나 영상을 만드는 과제를 내시거나 하기도 하던데, 피터 교수님의 수업은 그런 즐거운 수업은 아니지만 아잉 중에서는 최고 꿀강이라고 생각해용"
727,197,alskdfjasldf,5,4,4,4,4,강의는 지루하지만 교수님이 좋으시고 성적을 후하게 주십니다. 자잘한 과제가 없는 게 가장 큰 장점인 것 같습니다.
728,197,너구리후레이크,5,2,2,5,3,"실베 교수님은 항상 학점 퍼줘서 이번에도 잘 받아갑니다 ㅎㅎ


아잉 1보다는 하는게 많았음 좀 귀찮았다
교수님이 강의력 하나는 매우 좋은데 아잉1이랑 같은 내용이라 지루해서 안 들었습니다 (가끔 질문에 대답해주면 교수님이 좋아하십니다 ㅎㅎ)


뭐했는지 다는 기억 안 나는데:
1. 에세이 쓰기
2. 교수님이랑 1대1로 자신이 쓴 에세이에 대해 질문 받으면 답하기
3. 조별 발표

이정도??


귀찮지만 학점 잘 준다=실베스터


국제 교수님들 중에서는 제일 좋음"
729,197,NewJeans민지,4,3,3,3,2,"대체로 아잉2가 아잉1보다 할게 많다.

1학점임을 감안한다면 아잉1 커리큘럼도 분량 초과인 듯 한데, 그거보다 많으면...

중간고사는 4인 1조로 교수님께서 제시한 주제로 대화하면서 평가가 이루어졌다. 다음 시간에 스피킹 평가 점수가 나온다(A+,A..형식)

두 번째 과제로 3000단어(3000자 아님) 분량의 APA형식 에세이를 제출했다. 평가 점수를 받고 난 후 곧바로 교수님께서 에세이에 대해 반박하고 이에 대해 답변해야 하는 Devil's advocate를 매일 4명씩 진행한다. 영어로 말하기에 자신이 없다면 이 부분이 난이도가 매우 높게 느껴질 것이다. 진짜 임기응변으로 대답해야 하기 때문이다.

마지막으로 4인 1조로 특정 주제에 대해 릴레이 발표를 진행한다. 팀적으로는 팀워크와 통일성을 중심으로, 개인적으로는 시선처리나 표정을 중심으로 평가하신다."
730,197,hjh0916,4,4,4,3,3,"저는 영어를 많이 못해서 아잉이라는 수업 자체가 부담이었어서 꿀강이라는 교수님을 찾아보다가 실패해 남은 자리에 들어가게 된 수업이었습니다. 교수님께서 발음이 한국식이 아니라 수업을 듣기는 많이 어렵긴 했습니다. 수업은 에세이 쓰기, 에세이 바탕으로 교수님과 영어로 하는 면담, 팀발표로 이루어졌습니다. 저는 1학기 때에도 이 교수님의 수업을 들었어서 이번에도 저희 학과 분반이 아닌 국제 분반까지 넘어와 교수님의 수업을 들었습니다. 교수님은 정말 저희 할아버지처럼 따뜻하십니다. 잘 알아듣지 못해 여쭤보면 친절히 답해주시고 에세이 제출 기한이나 여러 과제 관련해 피드백도 상세히 해주십니다. 면담 또한 영어실력보다는 교수님과 아이컨택을 얼마나 하며 이야기를 이끌어나가는가가 중요하게 작용하는 것 같습니다. 영어가 부족해 수업을 듣기 어려운 학생이 있다면 이 교수님의 수업을 추천드립니다. 수업 때 말씀하시는 내용보다는 내주시는 과제에 힘을 쏟으면 되고 미국에 할아버지 집 놀러왔다 생각하고 편안한 마음으로 수업 들으시면 좋을 것 같습니다. (꿀강입니다)"
731,197,FB333,4,1,3,3,2,1학기 때랑 내용이 거의 비슷해서 약간 복습하는 느낌이 들기도 했습니다. 다만 이번 학기에는 devil’s advocate가 포함되어서 이전보다는 좀 더 부담이 되는 느낌이었습니다.
